Brass-1	Brass-2	Brass-3	Brass-4	Brass-5	Copper-1	Copper-2	Copper-3	Copper-4	Copper-5	Steel-1	Steel-2	Steel-3	Steel-4	Steel-5	Aluminum-1	Aluminum-2	Aluminum-3	Aluminum-4	Aluminum-5	
°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
 2.587465e+001	 2.760566e+001	 3.288324e+001	 4.418461e+001	 6.784331e+001	 4.025373e+001	 4.109236e+001	 4.434605e+001	 5.017820e+001	 5.923074e+001	 2.161154e+001	 2.180580e+001	 2.228527e+001	 2.342771e+001	 5.149347e+001	 2.284316e+001	 2.286146e+001	 2.405293e+001	 2.684356e+001	 3.737356e+001	
 2.586955e+001	 2.759585e+001	 3.282130e+001	 4.418008e+001	 6.785831e+001	 4.029220e+001	 4.116024e+001	 4.438976e+001	 5.019034e+001	 5.920916e+001	 2.160410e+001	 2.178565e+001	 2.224870e+001	 2.337473e+001	 5.142825e+001	 2.279456e+001	 2.286099e+001	 2.398515e+001	 2.681702e+001	 3.736874e+001	
 2.591798e+001	 2.760419e+001	 3.287346e+001	 4.418475e+001	 6.788955e+001	 4.032366e+001	 4.120200e+001	 4.440252e+001	 5.021991e+001	 5.925144e+001	 2.164068e+001	 2.179774e+001	 2.226610e+001	 2.336763e+001	 5.147906e+001	 2.281136e+001	 2.281913e+001	 2.402615e+001	 2.683255e+001	 3.738484e+001	
 2.589772e+001	 2.759830e+001	 3.287464e+001	 4.420712e+001	 6.789034e+001	 4.033025e+001	 4.115157e+001	 4.444512e+001	 5.027577e+001	 5.930627e+001	 2.161483e+001	 2.180845e+001	 2.227612e+001	 2.335834e+001	 5.147668e+001	 2.282611e+001	 2.284827e+001	 2.402127e+001	 2.683821e+001	 3.739704e+001	
 2.592950e+001	 2.761918e+001	 3.282626e+001	 4.424909e+001	 6.792636e+001	 4.032228e+001	 4.123239e+001	 4.448254e+001	 5.030490e+001	 5.933431e+001	 2.159500e+001	 2.179220e+001	 2.227835e+001	 2.339767e+001	 5.146450e+001	 2.279918e+001	 2.283302e+001	 2.399162e+001	 2.682426e+001	 3.739458e+001	
 2.592452e+001	 2.758849e+001	 3.289022e+001	 4.417224e+001	 6.797493e+001	 4.034906e+001	 4.126004e+001	 4.450034e+001	 5.031619e+001	 5.937704e+001	 2.165196e+001	 2.182695e+001	 2.230578e+001	 2.336938e+001	 5.150105e+001	 2.279456e+001	 2.285506e+001	 2.405149e+001	 2.687983e+001	 3.741742e+001	
 2.593724e+001	 2.764114e+001	 3.288432e+001	 4.423416e+001	 6.797263e+001	 4.038091e+001	 4.126636e+001	 4.450615e+001	 5.034937e+001	 5.940903e+001	 2.160212e+001	 2.177311e+001	 2.229263e+001	 2.341182e+001	 5.150567e+001	 2.281207e+001	 2.280812e+001	 2.401831e+001	 2.686081e+001	 3.738340e+001	
 2.596396e+001	 2.767526e+001	 3.288207e+001	 4.422491e+001	 6.804456e+001	 4.040554e+001	 4.130250e+001	 4.455379e+001	 5.037581e+001	 5.942884e+001	 2.160026e+001	 2.178229e+001	 2.230541e+001	 2.341329e+001	 5.152093e+001	 2.282682e+001	 2.284131e+001	 2.399173e+001	 2.682001e+001	 3.739329e+001	
 2.599180e+001	 2.769589e+001	 3.295749e+001	 4.427742e+001	 6.800001e+001	 4.045143e+001	 4.132251e+001	 4.458365e+001	 5.039720e+001	 5.944210e+001	 2.161961e+001	 2.177554e+001	 2.226138e+001	 2.341391e+001	 5.150049e+001	 2.279803e+001	 2.286139e+001	 2.404952e+001	 2.683694e+001	 3.738173e+001	
 2.601300e+001	 2.771664e+001	 3.297050e+001	 4.428615e+001	 6.805827e+001	 4.040250e+001	 4.133837e+001	 4.460714e+001	 5.045567e+001	 5.950668e+001	 2.160295e+001	 2.178513e+001	 2.226743e+001	 2.339780e+001	 5.153101e+001	 2.283252e+001	 2.284726e+001	 2.405008e+001	 2.684458e+001	 3.741046e+001	
